isbn,title,authors,description,subjects,text,wiki_description
0061009059,One for the Money,"Janet Evanovich, Janet Evanovich",,"Women detectives, Detective and mystery stories, Bounty hunters, Stephanie Plum (Fictitious character), Private investigators, nyt:mass_market_paperback=2011-12-17, Fiction, New York Times bestseller, Plum, stephanie (fictitious character), fiction, Fiction, mystery & detective, women sleuths, Trenton (n.j.), fiction, Mystery and detective stories, Mystery fiction, Mystery & Detective, Large type books, humor, mystrey","One for the Money Janet Evanovich, Janet Evanovich Women detectives, Detective and mystery stories, Bounty hunters, Stephanie Plum (Fictitious character), Private investigators, nyt:mass_market_paperback=2011-12-17, Fiction, New York Times bestseller, Plum, stephanie (fictitious character), fiction, Fiction, mystery & detective, women sleuths, Trenton (n.j.), fiction, Mystery and detective stories, Mystery fiction, Mystery & Detective, Large type books, humor, mystrey","""One for the Money"" is an English-language children's rhyme. Children have used it as early as the 1820s to count before starting a race or other activity."
006101351X,The perfect storm,"Sebastian Junger, Anne Collins",,"Social life and customs, Foreign speakers, Andrea Gail (Boat), Andrea Gail (Ship), Open Library Staff Picks, Halloween Nor'easter, 1991, Swordfish fisheries, English language, Northeast storms, Fisheries, Natural disasters, Study and teaching, Readers (Adult), Hurricane Grace, 1991, Shipwrecks, Swordfish fishing, History, Fishers, Ships, ELT graded readers, American English, Reading Level-Grade 11, Reading Level-Grade 12, Massachusetts, social life and customs, Seafaring life, Storms, Severe storms, Survival, Tropical Storm Grace, 1997, New York Times reviewed, Alex award, Film novelizations, Manners and customs, Gloucester (Mass.), Social life & customs, Disasters","The perfect storm Sebastian Junger, Anne Collins Social life and customs, Foreign speakers, Andrea Gail (Boat), Andrea Gail (Ship), Open Library Staff Picks, Halloween Nor'easter, 1991, Swordfish fisheries, English language, Northeast storms, Fisheries, Natural disasters, Study and teaching, Readers (Adult), Hurricane Grace, 1991, Shipwrecks, Swordfish fishing, History, Fishers, Ships, ELT graded readers, American English, Reading Level-Grade 11, Reading Level-Grade 12, Massachusetts, social life and customs, Seafaring life, Storms, Severe storms, Survival, Tropical Storm Grace, 1997, New York Times reviewed, Alex award, Film novelizations, Manners and customs, Gloucester (Mass.), Social life & customs, Disasters",
0061097101,The saving graces,Patricia Gaffney,,"Female friendship, Fiction, Friendship, Women, Large type books, Friendship, fiction, Fiction, general, Washington (d.c.), fiction","The saving graces Patricia Gaffney Female friendship, Fiction, Friendship, Women, Large type books, Friendship, fiction, Fiction, general, Washington (d.c.), fiction",
0070212570,Fried green tomatoes at the Whistle Stop Cafe,"Fannie Flagg, Akiko Izumi",,"Race relations, Reminiscing in old age, Female friendship, Romance norte americano, Fiction, Lesbians, Women, Domestic fiction, Love stories, Restaurants, Reminiscing in old age -- Fiction., Friendship, Female friendship -- Fiction., Women -- Alabama -- Fiction., Race relations -- Fiction., Restaurants -- Fiction., Lesbians -- Fiction., Alabama -- Fiction., Fiction, general, Alabama, fiction, Large type books, Lesbians, fiction, Kvinnlig vänskap, Skönlitteratur, LGBTQ novels, Fiction, family life, general, Fiction, romance, general, Friendship, fiction","Fried green tomatoes at the Whistle Stop Cafe Fannie Flagg, Akiko Izumi Race relations, Reminiscing in old age, Female friendship, Romance norte americano, Fiction, Lesbians, Women, Domestic fiction, Love stories, Restaurants, Reminiscing in old age -- Fiction., Friendship, Female friendship -- Fiction., Women -- Alabama -- Fiction., Race relations -- Fiction., Restaurants -- Fiction., Lesbians -- Fiction., Alabama -- Fiction., Fiction, general, Alabama, fiction, Large type books, Lesbians, fiction, Kvinnlig vänskap, Skönlitteratur, LGBTQ novels, Fiction, family life, general, Fiction, romance, general, Friendship, fiction",
00992551809,,,,,,Nan or NAN may refer to:
0140266445,Love You to Bits and Pieces,"Gillian Helfgott, Alissa Tanskaya",,"Helfgott, David, Mentally ill, Biography, Pianists, Pianists, biography, Australia, biography","Love You to Bits and Pieces Gillian Helfgott, Alissa Tanskaya Helfgott, David, Mentally ill, Biography, Pianists, Pianists, biography, Australia, biography",
0140293248,The girls' guide to hunting and fishing,Melissa Bank,,"Fiction, Social life and customs, Young women, Man-woman relationships, American Love stories, Literature, Love stories, American, American Romance fiction, Manners and customs, American Chick lit, Large type books, Fiction, romance, contemporary, Man-woman relationships, fiction, United states, social life and customs, fiction, Young women, fiction, United states, fiction, Fiction, general","The girls' guide to hunting and fishing Melissa Bank Fiction, Social life and customs, Young women, Man-woman relationships, American Love stories, Literature, Love stories, American, American Romance fiction, Manners and customs, American Chick lit, Large type books, Fiction, romance, contemporary, Man-woman relationships, fiction, United states, social life and customs, fiction, Young women, fiction, United states, fiction, Fiction, general",
0140480536,Heartbreak House,George Bernard Shaw,,"Manuscripts, Facsimiles, Drama, Upper class, British and irish drama (dramatic works by one author)","Heartbreak House George Bernard Shaw Manuscripts, Facsimiles, Drama, Upper class, British and irish drama (dramatic works by one author)","Heartbreak House: A Fantasia in the Russian Manner on English Themes is a play written by Bernard Shaw during the First World War, published in 1919 and first performed in November 1920 at the Garrick Theatre, New York, followed by a West End production the following year.
The play reflects Shaw's disillusion with post-war Britain. It contrasts cultured but self-absorbed and politically irresponsible people on the one hand and aggressive philistines on the other."
0142001740,The  secret life of bees,"Sue Monk Kidd, Sue Kidd",,"Teenage girls, Fiction, South Carolina in fiction, African American women, Beekeepers, Race relations, Literature, Maternal deprivation, Sisters, Domestic fiction, African American women in fiction, Open Library Staff Picks, Beekeepers in fiction, Maternal deprivation in fiction, Race relations in fiction, Sisters in fiction, Teenage girls in fiction, Mothers and daughters, Girls, Racism, Beekeeping, Teenagers, Historical fiction, African Americans, Women, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Teenage boy/girl relations, Secrets, Fictional Works, Fiction, family life, South carolina, fiction, African americans, fiction, Sisters, fiction, Fiction, coming of age, Afrcian American Women, nyt:trade-fiction-paperback=2008-07-06, New York Times bestseller, Fiction, historical, general, Fiction, family life, general","The  secret life of bees Sue Monk Kidd, Sue Kidd Teenage girls, Fiction, South Carolina in fiction, African American women, Beekeepers, Race relations, Literature, Maternal deprivation, Sisters, Domestic fiction, African American women in fiction, Open Library Staff Picks, Beekeepers in fiction, Maternal deprivation in fiction, Race relations in fiction, Sisters in fiction, Teenage girls in fiction, Mothers and daughters, Girls, Racism, Beekeeping, Teenagers, Historical fiction, African Americans, Women, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Teenage boy/girl relations, Secrets, Fictional Works, Fiction, family life, South carolina, fiction, African americans, fiction, Sisters, fiction, Fiction, coming of age, Afrcian American Women, nyt:trade-fiction-paperback=2008-07-06, New York Times bestseller, Fiction, historical, general, Fiction, family life, general",
0312167792,Bachelor brothers' bed & breakfast pillow book,"Richardson, Bill",,"Bed and breakfast accommodations, Brothers, Fiction, Books and reading, Bachelors, Eccentrics and eccentricities, Twins, Bachelor brothers (fictitious characters), fiction, Canada, fiction, Fiction, humorous, general, British columbia, fiction, Twins, fiction, Brothers, fiction","Bachelor brothers' bed & breakfast pillow book Richardson, Bill Bed and breakfast accommodations, Brothers, Fiction, Books and reading, Bachelors, Eccentrics and eccentricities, Twins, Bachelor brothers (fictitious characters), fiction, Canada, fiction, Fiction, humorous, general, British columbia, fiction, Twins, fiction, Brothers, fiction",
0312195516,The red tent,Anita Diamant,,"Women in the Bible, Fiction, Religious fiction, Bible, History of Biblical events, Kvinnor i bibeln, Skönlitteratur, Bible fiction, Dinah, Women in the bible--fiction, Ps3554.i227 r43 1998, 813/.54","The red tent Anita Diamant Women in the Bible, Fiction, Religious fiction, Bible, History of Biblical events, Kvinnor i bibeln, Skönlitteratur, Bible fiction, Dinah, Women in the bible--fiction, Ps3554.i227 r43 1998, 813/.54",The Red Tent or Red Tent may refer to:
0312983271,Full house,Janet Evanovich,,"Max Holt (Fictitious character), Divorced women, Detective and mystery stories, Jamie Swift (Fictitious character), Open Library Staff Picks, Single mothers, Fiction, Private investigators, Women newspaper editors, Love stories, Detectives, Large type books, Fiction, romance, general, American Humorous stories, Fiction, romance, suspense, Divorced mothers","Full house Janet Evanovich Max Holt (Fictitious character), Divorced women, Detective and mystery stories, Jamie Swift (Fictitious character), Open Library Staff Picks, Single mothers, Fiction, Private investigators, Women newspaper editors, Love stories, Detectives, Large type books, Fiction, romance, general, American Humorous stories, Fiction, romance, suspense, Divorced mothers","Full house or Fullhouse or variation, may refer to:"
0316289329,Beat to quarters,C. S. Forester,,"History, Naval, Open Library Staff Picks, Horatio Hornblower (Fictitious character), Fiction, Naval History, Peninsular War, 1807-1814, Napoleonic Wars, 1800-1815, Fiction, war & military, Napoleonic wars, 1800-1815, fiction, Hornblower, horatio (fictitious character), fiction, Fiction, historical, Fiction, historical, general","Beat to quarters C. S. Forester History, Naval, Open Library Staff Picks, Horatio Hornblower (Fictitious character), Fiction, Naval History, Peninsular War, 1807-1814, Napoleonic Wars, 1800-1815, Fiction, war & military, Napoleonic wars, 1800-1815, fiction, Hornblower, horatio (fictitious character), fiction, Fiction, historical, Fiction, historical, general","General quarters, battle stations, or action stations is an announcement made aboard a naval warship to signal that all hands (everyone available) aboard a ship must go to battle stations (the positions they are to assume when the vessel is in combat) as quickly as possible.
According to The Encyclopedia of War, formerly ""[i]n naval service, the phrase 'beat to quarters' indicated a particular kind of drum roll that ordered sailors to their posts for a fight where some would load and prepare to fire the ship's guns and others would arm with muskets and ascend the rigging as sharpshooters in preparation for combat.""
Aboard U.S. Navy vessels, the following announcement would be made using the vessel’s public address system (known as the 1MC):

General Quarters, General Quarters. All hands man your battle stations."
